PARTNUM,partgroup,partweight,part ft3,CANADA,CHINA,GERMANY,ITALY,MEXICO,SOUTH KOREA,UNITED STATES
0.0,40.0,0.0331,10.3101,1.14726,1.18686,1.54931,1.03058,1.29714,1.34111,1.16218
1.0,40.0,0.6173,158.363,1.46983,1.45242,0.964846,1.29027,1.1625,1.36635,1.58207
2.0,40.0,0.7165,158.363,1.21226,1.17744,0.804537,0.853122,0.903363,1.00529,1.11315
3.0,40.0,1.6094,675.0,3.18768,2.81881,1.11885,2.87273,2.04756,2.0657,3.28092
4.0,40.0,0.4299,367.875,2.06107,1.94401,1.17883,2.18487,1.08465,1.10884,1.9404
5.0,40.0,0.4299,367.875,1.95447,1.81866,1.29279,2.34249,1.05844,1.10884,1.86397
6.0,20.0,0.2964,7.22434,4.66101,4.22179,5.23674,3.83169,4.18371,4.34078,4.21977
7.0,20.0,0.2299,0.306,3.14012,2.97105,3.89461,6.25292,3.02179,2.4816,3.0216
8.0,20.0,0.3704,0.456923,8.70119,10.4613,7.18692,11.6348,7.04308,6.69304,9.71909
9.0,20.0,20.8,27144.1,239.667,239.482,238.632,249.599,281.758,215.762,239.713
10.0,15.0,0.4137,32.5859,1.19286,0.984011,1.25832,1.0049,1.25833,1.20136,1.10813
11.0,10.0,0.065,57.9684,1.32974,1.25738,0.714781,0.821334,1.33884,0.662291,1.28596
12.0,20.0,0.9196,7.31733,1.88486,1.16168,1.30258,2.08372,1.79812,1.45488,1.6969
13.0,20.0,0.119,3.96616,0.988091,0.930667,1.37616,0.900581,1.00677,1.13633,1.00648
14.0,20.0,0.4814,13.4747,1.85884,1.86595,0.983476,1.01705,0.831123,1.085,1.77698
15.0,20.0,0.7298,44.95,1.67404,1.27281,1.73527,1.38811,1.16015,1.82593,1.495
